Italy;60461826;294140;172434;285.1948268979;0.1551074521;;;62;155;229;322;453;655;888;1128;1694;2036;2502;3089;3858;4636;5883;7375;9172;10149;12462;15061;17660;21157;24747;27980;31506;35713;41035;47021;53578;59138;63927;69176;74386;80589;86498;92472;97689;101739;105792;110574;115242;119827;124632;128948;132547;135586;139422;143626;147577;152271;156363;159516;162488;165155;168941;172434
Japan;126476461;364555;9787;7.73819881;0.091488214;;;43;59;66;74;84;94;105;122;147;159;170;189;214;228;241;256;274;293;331;360;420;461;502;511;581;639;670;701;773;839;858.5;878;889;924;963;1007;1101;1128;1193;1307;1387;1468;1693;1866;1909.5;1953;2178;2495;2617;3139;3396.5;3654;3906;4257;4667;5530;6005;6748;7370;7645;8100;8626;9787
Korea, South;51269185;97230;10635;20.7434543771;0.1027919925;;;30;31;67.5;104;204;433;602;833;977;1261;1766;2337;3150;3736;4335;5186;5621;6088;6593;7041;7314;7478;7513;7755;7869;7979;8086;8162;8236;8320;8413;8565;8652;8799;8961;8999;9037;9137;9241;9332;9478;9583;9661;9786;9887;9976;10062;10156;10237;10284;10331;10384;10423;10450;10480;10512;10537;10564;10591;10613;10635
Portugal;10196709;91590;19022;186.5503860118;0.1750419541;;;30;35.5;41;59;85.5;112;169;245;331;448;616.5;785;1020;1280;1600;2060;2362;2995;3544;4268;5170;5962;6408;7443;8251;9034;9886;10524;11278;11730;12442;13141;13956;15472;15987;16585;16934;17448;18091;18841;19022
Russia;145934462;16376870;32008;21.9331332444;0.2063880574;;;45;59;63;90;114;147;199;253;306;367;438;495;658;840;1036;1264;1534;1836;2337;2777;3548;4149;4731;5389;6343;7497;8672;10131;11917;13584;15770;18328;21102;24490;27938;32008
Singapore;5850342;700;5050;86.31973994;0.0759756184;;;30;33;40;45;47;50;58;67;72;75;77;81;84;84.5;85;87;89;90;91;93;96;99;102;106;108;110;113.5;117;130;138;150;155;160;178;189;200;212;226;243;266;313;345;385;432;455;509;558;631;683;732;802;844;879;926;1000;1049;1114;1189;1309;1375;1481;1623;1910;2108;2299;2532;2918;3252;3699;4427;5050
Spain;46754778;498800;190839;408.1700484173;0.1941293436;;;32;45;84;120;165;222;259;400;500;673;1073;1695;2277;3754.5;5232;6391;7798;9942;11748;13910;17963;20410;25374;28768;35136;39885;49515;57786;65719;73235;80110;87956;95923;104118;112065;119199;126168;131646;136675;141942;148220;153222;158273;163027;166831;170099;172541;177644;184948;190839
Sweden;10099265;410340;13216;130.8610082021;0.1443764417;;;35;94;101;161;203;248;355;500;599;814;961;1022;1103;1190;1279;1439;1639;1763;1934;2046;2286;2526;2840;3069;3447;3700;4028;4435;4947;5568;6131;6443;6830;7206;7693;8419;9141;9685;10151;10483;10948;11445;11927;12540;13216
Switzerland;8654622;39516;27078;312.8732832006;0.1509943772;;;42;56;90;114;214;268;337;374;491;652;895.5;1139;1359;2200;2450;2700;3028;4075;5294;6575;7474;8795;9877;10897;11811;12928;14076;14829;15922;16605;17768;18827;19606;20505;21100;21657;22253;23280;24051;24551;25107;25415;25688;25936;26336;26732;27078
US;331002651;9147420;699706;211.3898477508;0.1988780762;;;39;51;54;57;58;60;68;74;98;118;149;217;262;402;518;583;959;1281;1663;2179;2727;3499;4632;6421;7783;13747;19273;25600;33276;43843;53736;65778;83836;101657;121465;140909;161831;188172;213372;243762;275586;308853;337072;366667;396223;429052;461437;496535;526396;555313;580619;607670;636350;667801;699706
United Kingdom;67886011;241930;108692;160.1095695548;0.1858788426;;;36;40;51;85;115;163;206;273;321;382;456;627;798;1140;1341.5;1543;1950;2626;2689;3983;5018;5683;6650;8077;9529;11658;14543;17089;19522;22141;25150;29474;33718;38168;41903;47806;51608;55242;60733;65077;73758;78991;84279;88621;93873;98476;103093;108692
