Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11
American Samoa;55191;200;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Northern Mariana Islands;57559;460;7.4166666667;12.8853292564;0.2472222222;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;7;7.5;8;8.5;9;8.5;9;9.3333333333;9.6666666667;10;10.3333333333;10.6666666667;11;7.25;5.5;5.25;5;4.5555555556;4.1111111111;3.6666666667;3.2222222222;2.9444444445;2.6666666666;2.3888888889;2.1111111111;1.8333333333;1.5555555556;1.3611111111;1.1666666667;0.9722222222;0.7777777778;0.7777777777;0.7777777778;0.7777777777;0.7777777778;1.0555555555;1.3333333334;1.6111111111;3.0555555556;4.5;4.8444444444;5.1888888889;5.5333333333;5.8777777778;6.2222222222;6.3666666667;6.5111111111;6.6555555556;6.8;6.6666666667;6.4166666666;6.1666666667;4.75;3.3333333333;3.0166666667;2.7;2.3833333333;2.0666666667;1.75;1.6333333333;1.5166666667;1.4;2.7;4;4.25;4.5;4.75;5.6666666667;7.5833333333;7.5;7.4166666667
US;331002651;9147420;301594;91.1152823365;0.1490569833;;;1;1;2;2;5;5.4;5.8;6.2;6.6;7;8;9.5;11;11.125;10.25;10.375;9.5;9.625;6.75;6.475;6.2;6.3;6.4;6.25;5.5;4.25;3;3.125;3.25;3.375;3.5;15.375;27.25;39.125;42;44.5;45;46.75;54.5;60.25;84;103.75;134.5;204.25;252;376;480;537;908;1228;1609;2121;2661;3462;4561;6303;7616;13489;18924;25158;32693;43076;52914;64524;82110;99693;119042;137374;157486;181735;205821;230260;256524;283427;303522;322455;343196;362810;379491;394884;404990;414403;418477;419498;423072;423973;424264;423563;422007;418391;414744;411697;405843;408512;411378;410472;407573;404912;403235;401443;403399;399949;399231;395667;392486;388980;387853;378571;371396;363475;359684;356794;350497;348350;339363;335281;328717;327933;324217;322522;320124;317008;313062;313986;314421;311537;308770;303979;303195;302345;303415;302712;303253;299667;295513;301695;303153;300636;299126;298576;301288;301594
US Alabama;4903185;131171;6535;133.2807144744;0.2860582184;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;12;28;36;46;68;81;124;138;167;215;283;505;584;690;794;831;945;1031;1165;1351;1456;1658;1801;1904;2086;2263;2381;2495;2719;2875;2895;3036;3112;3098;3075;3041;3057;3112;3096;3009;2864;2946;2745;2765;2811;2729;2674;2628;2779;2888;3000;3054;3116;3120;3389;3430;3507;3510;3623;3775;3949;4058;4089;4046;4061;4091;4163;4221;4342;4371;4550;4721;5086;5226;5342;5607;5836;6132;6277;6266;6107;5953;5824;6105;6173;6195;6026;6146;6535
US Alaska;731545;1477953;186;25.4256402545;0.3044189853;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;6;9;12;14;22;29;36;41;58;68;83;100;111;116;127;134;145;157;163;162;177;184;176;177;172;170;163;166;160;157;152;143;134;130;116;109;102;93;83;69;68;66;62;59.5;55;51;49;49;42;37;37;38;38;38;36;32;30;27.5;24;27;28;29;29.5;30;29;27;30;29.5;28;28;27;38;42;42;54.5;68;86.5;103;110;120;128;135.5;154;162;181;186
US Arizona;7278717;294207;13501;185.4859860605;0.4318385363;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;5;5.3333333333;5.6666666667;6;9;10;11;12;15;18;20;26;42;62;99;146.6666666667;259.3333333333;351;441;567;723;858;902;1137;1265;1384;1554;1704;1915;2117;2191;2218;2276;2441;2376;2520;2620;2545;2517;2549;2636;2738;2700;2660;2608;2676;2733;2751;2933;2887;2987;3014;3142;3240;3414;3455;3645;3711;3855;4054;4248;4176;4481;4680;4593;4664;4788;4974;5026;5207;5267;5297;5251;5261;5190;5370;5082;5079;5220;5181;5047;5086;5089;5296;5624;5999;5953;6684;7336;7438;8724;9412;10550;11117;11513;12590;13501
US Arkansas;3017804;134771;4278;141.7587093131;0.3955251479;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;12;16;22;27.5;33;46;96;118;165;174;218;278;329;372;392;410;451;495.5;551;597;608;625;665;701;728;720;784;790;822;854;937;957;985;977;991;996;951;1048;1281;1276;1346;1570;1603;1661;1607;1631;1623;1635;1626;1633;1650;1535;1269;1292;1146;953;918;949.5;1017;1053;1008;981;1142;1206;1328;1355;1427;1435;1847;1918;2020;2031.5;1995;2016;2077;2302;2312.5;2435;2494;2630;2832;3064;2901;3039;3334;3504;3711;3900;4091;4278
US California;39512223;403466;37584;95.1199328876;0.2698429793;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;56.5;60;69;88;114;133;157;198;223;247;288;329;472;558;867.5;1003;1210;1448;1619;1969;2198;2804;3652;4391;5415;6112;6999;7544;8267;9638;10747;11902;12603;13763;14602;15303;15593;15972;16086;15901;15856;16269;16991;16827;16937;16895;16642;17396;18439;19060;19782;20522;20370;21116;21693;22076;22735;22914;23234;23283;23959;22951;23419;23245;23258;23424;24516;24475;24351;24641;24247;24494;24596;25223;25493;25583;25242;25583;25932;26070;26030;26619;27351;27839;28533;28950;30085;31744;32576;33515;33630;33610;34457;35385;36102;36761;36756;37211;37584
US Colorado;5758736;268431;3732;64.8058879587;0.1309519632;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;8.5;9;12;28;45;72;100;130;144.5;159;181;214;274;355;466.5;582;708;884;1041;1358;1633;1930;2481.5;2636.5;2783;3126;3451;3810;4090;4359;4452;4517;4569;5080;4967.5;4832;5057;4894.5;4975;4938;4947;4874;4868;4780;4934;5018;5223;4752;5554.5;6075;5757;6188;6794;6478;6609;6721;6792;6905;6801;6917;6952;7539;6571;6735;6458;6000;5422;5717;5554;5464;5408;5303;5295;5118;4967;4390;4660;4261;4275;4390;4408;4292;4283;4381;4465;4440;4375;4306;4263;4169;4128;3884;3827;3914;3782;3732
US Connecticut;3565287;12542;2902;81.3959717689;0.0652706867;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;6;8.5;11;20;26;41;68;95;191;204.5;218;405;606;856;991;1264;1615;1959;2535;3059;3472;3712;4720;5067.5;5452;6491;7163;7907.5;8772;9247;9868;10042;10810;10861;11198;12060;11895;11903.5;11875;12909;12579;13686.5;13316;13383;13072;13234;12409.5;12323;12012;11816;11955;11846;11737;10139;10261;8526;8684;8490;8402;8285;7974.5;8021;8088;7764;7321;7677.5;8132;8162;7809;8022;7424;7229;7038;6914;7108;6970;6576;6095;5677;5319;4782;4624;4549;4074;4031;3820;3796;3500;3219;2876;2916;2902
