Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11
American Samoa;55191;200;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Mariana Islands;57559;460;0.0548878292;0.0036697864;0.029883572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0339463079;0.0303189487;0.0281966153;0.0268733845;0.0250821192;0.0228532391;0.020728143;0.0180628528;0.0148644376;0.0111296851;0.0074911602;0.0051101969;0.0039293488;0.0039139691;0.0038987094;0.0038835682;0.0038685442;0.0038536359;0.0038388422;0.0038241616;0.0038095928;0.0037951346;0.0037807858;0.003766545;0.0037524111;0.0052837892;0.0083224928;0.0128113943;0.0233340714;0.0376921944;0.0499376127;0.0548878292;0.0484046049;0.0365215366;0.0254020156;0.0191994128;0.0172265049;0.014531652;0.0119210558;0.0101933986;0.0088570008;0.0078890192;0.0064950883;0.0051210778;0.0042106194;0.0037524111;0.0037383829;0.0037244592;0.0037106389;0.0036969207;0.0036833036;0.0036697864;0.0087687907;0.0186996826;0.0291170557;0.0353533599;0.0324133959;0.0266900961;0.0255747331;0.0273392839;0.029883572
US;331002651;9147420;0.4264056684;0.0098588669;0.0098588669;0.0114388462;;;;;;;;;;;;;;;;;;;;0.0110514014;0.010930585;0.0108123821;0.013318512;0.0183082513;0.023948576;0.0277691203;0.0272189091;0.0241136891;0.0203387863;0.0183562813;0.01802527;0.0177059896;0.0781498923;0.1732409826;0.2806314149;0.3431122318;0.2998321877;0.2018504252;0.1058928412;0.0660746416;0.0567179599;0.0916442568;0.1345927061;0.1835728112;0.2454354548;0.2753829914;0.3232013667;0.3434522887;0.3276547986;0.3435279056;0.3363272533;0.3469756402;0.3578399407;0.3352630704;0.3137856184;0.2925879225;0.2994152118;0.3016307088;0.3489467902;0.3901373908;0.4147327105;0.4264056684;0.3844568217;0.3387525649;0.2925615666;0.2704550594;0.25100423;0.2377062825;0.2218138401;0.2018769522;0.1820210681;0.1636265768;0.1535861878;0.1462498557;0.1397136747;0.1306657335;0.1188949323;0.1067141094;0.0951174137;0.0875094093;0.0823089429;0.0782070341;0.0727872902;0.0656939556;0.0585225473;0.0525428736;0.0490576684;0.0478737117;0.0476721395;0.0468142432;0.0444983132;0.0411230691;0.0378221854;0.035681927;0.035296464;0.0359394775;0.0361888568;0.0348915564;0.0320495082;0.0289475647;0.0267290612;0.0266349434;0.0274089946;0.0278654638;0.0268498545;0.0247428506;0.0225674291;0.0211701096;0.0208954611;0.0210422689;0.0207011494;0.0194731933;0.0178337675;0.0162940037;0.0158584952;0.016177874;0.0169789325;0.0171858642;0.0166544219;0.0156614351;0.0147073447;0.0144736786;0.014635177;0.0149723481;0.0148168294;0.014218198;0.0132911921;0.0123555739;0.0118613043;0.0118993638;0.0123762798;0.0128379512;0.0129529029;0.0126320373;0.012020314;0.0115596163;0.0116833364;0.0121121997;0.0124125752;0.0121539587;0.011270427;0.0103759612;0.0098588669
US Alabama;4903185;131171;0.3766935056;0.0159767561;0.0254045351;0.0389285552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3766935056;0.3288481579;0.3004435599;0.2778862085;0.2492942744;0.308006488;0.3382593472;0.3619204755;0.3313100138;0.2383419023;0.1775865902;0.1300080104;0.1203335986;0.1220234897;0.1254390076;0.1330706952;0.1288458528;0.1197569491;0.1105073998;0.1084042083;0.1097752563;0.109912732;0.1066819197;0.0954430185;0.082607186;0.0704617309;0.0623369587;0.0558603888;0.0499095687;0.0457859418;0.0415814415;0.0382652603;0.0382348266;0.0411115744;0.0414081183;0.041327516;0.0378395432;0.0350233511;0.033173388;0.0306902276;0.0302488382;0.0268407593;0.0266096126;0.0274236482;0.0306345631;0.0340892397;0.0359573365;0.0365598174;0.0359307469;0.0359863232;0.0350181626;0.0331414859;0.0303846476;0.0281369942;0.0279502453;0.0281551315;0.0287333772;0.0277090952;0.0262633167;0.0251898611;0.0249984772;0.0259835362;0.027439415;0.0289846739;0.0297066782;0.0297406487;0.0304563254;0.031409873;0.0325677867;0.0330975693;0.0323581115;0.0317201273;0.0305201294;0.0289945586;0.0255617494;0.0208425901;0.0167537335;0.0159767561;0.0177558598;0.0209990142;0.023324886;0.0240492305;0.0254045351
US Alaska;731545;1477953;0.2997799472;0.0034797374;0.0259371729;0.0303541315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2997799472;0.2716977157;0.250878384;0.2436954541;0.217479009;0.1848107103;0.1449206026;0.1145236346;0.095167003;0.0889151121;0.0880755963;0.0847947075;0.0799579594;0.0754244613;0.0706206922;0.0662474901;0.0579990233;0.0531501362;0.0457281195;0.042165421;0.0374745172;0.0316875825;0.0285321558;0.0256729749;0.0245217839;0.020971137;0.0180739144;0.0163859018;0.0153032905;0.0146136371;0.0119113863;0.0087672757;0.0061861171;0.0063681885;0.0085031337;0.0109701216;0.0125540082;0.0121908784;0.0107668219;0.0086848886;0.0069962405;0.0055801289;0.004527051;0.0045025902;0.0044783924;0.0046839689;0.004667312;0.0044229297;0.0043995783;0.0045978224;0.0047983929;0.0052085095;0.0058236043;0.0068555856;0.0075645938;0.0073101957;0.0062131141;0.0046016693;0.0040530838;0.0039301616;0.0041220989;0.0040080964;0.0034797374;0.0055859584;0.0083604997;0.0120907115;0.0163363779;0.0201178953;0.026091954;0.0314557319;0.0344130178;0.0335157062;0.0287308049;0.0239700826;0.0221750258;0.021659616;0.0239212769;0.0259371729
US Arizona;7278717;294207;0.5426324901;0.0188584619;0.0391775465;0.0473000134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.189207115;0.2473865521;0.3209215131;0.4158783252;0.4850472579;0.5426324901;0.5417185518;0.4977998939;0.440979374;0.3562933964;0.2963650061;0.2392118881;0.2081884248;0.1753932411;0.1526730923;0.1420177301;0.1283355747;0.1247870826;0.1192979253;0.1190829435;0.1116645097;0.0954860727;0.0825635186;0.0704835836;0.0687170328;0.0667268538;0.0633013932;0.0568216133;0.0476046281;0.0455305556;0.0454479384;0.0506309165;0.0539902998;0.0522150843;0.0466420054;0.0404571384;0.0387361472;0.0409359656;0.0437798569;0.0455580238;0.0432739506;0.0397816206;0.0362777041;0.0369804379;0.0397041168;0.0438811264;0.0458693619;0.0442804626;0.041721983;0.0389304997;0.037770091;0.0387267083;0.0400324262;0.0394400107;0.0367877273;0.0320362915;0.0293889879;0.0292187308;0.032456905;0.0362396388;0.0365212095;0.0334849965;0.0292908724;0.0253590863;0.0239268047;0.0236013796;0.0242320278;0.024058741;0.0224629968;0.0204416628;0.0188584619;0.0193435268;0.0224789521;0.0279879666;0.0331434448;0.0344037741;0.0346963299;0.034747861;0.035290901;0.0397338966;0.0429352409;0.047815158;0.0483912767;0.045631498;0.0429567937;0.0391775465
US Arkansas;3017804;134771;0.4640176595;0.0133370851;0.0356351017;0.0432098765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3677823999;0.4115069211;0.4640176595;0.4392679287;0.3356857315;0.2679408129;0.2175910521;0.2150265965;0.1908051573;0.1586271939;0.1183425618;0.0931004284;0.089832528;0.0964112331;0.1033402574;0.1010617413;0.0956617132;0.0875352467;0.0824475542;0.0778645783;0.0771268753;0.0767034909;0.0731484056;0.0684953486;0.0631708266;0.06104802;0.0611997805;0.0615307057;0.0567767334;0.0492398958;0.039930247;0.0390910762;0.0497552788;0.0618822733;0.0751361318;0.0827915113;0.0788585042;0.0727782685;0.0597004557;0.0492655751;0.0377852835;0.0294294986;0.0268127581;0.0233968919;0.0209020033;0.0179012914;0.0154305199;0.0141229947;0.0133370851;0.0145884759;0.0156839597;0.0187022759;0.0225621131;0.0268470427;0.0291476553;0.0268825775;0.0253150734;0.0237216432;0.0271452535;0.029429178;0.0295929123;0.0264599665;0.0275371824;0.0323694068;0.0381536209;0.0408803187;0.035944184;0.0305787975;0.0236336621;0.0236276842;0.0254339827;0.0289877667;0.0329003794;0.0339514109;0.0346597208;0.0343323623;0.0353790905;0.036713945;0.0384771708;0.039629536;0.0398037167;0.0391966162;0.0369378067;0.0356351017
US California;39512223;403466;0.3108081068;0.0200592332;0.0200592332;0.0226887239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1856834996;0.2148128099;0.227089789;0.2126405349;0.1940584222;0.1757337467;0.156456742;0.1734216876;0.2035697926;0.2715281092;0.3108081068;0.3094096293;0.2834941513;0.2252503169;0.1990961302;0.1733257913;0.1778131782;0.193886053;0.2103882634;0.2313416304;0.22485882;0.2073989455;0.1764702317;0.1493021236;0.1367297057;0.1291200844;0.1312346071;0.1252145358;0.1168557742;0.1025033733;0.0904329199;0.0829326888;0.0755412649;0.0702875814;0.060841763;0.0537110567;0.0467650574;0.0455297722;0.0480652806;0.0520761025;0.0549088984;0.0511505855;0.0488916518;0.0477605849;0.0512188668;0.0554368452;0.0563523574;0.0531246478;0.0456750502;0.0392305609;0.0347369827;0.0346563589;0.0356987873;0.0377875376;0.0372395307;0.0343293673;0.0309389136;0.0290724516;0.0296698458;0.0314422071;0.0330998714;0.0332915386;0.0319412115;0.0290238241;0.0265927122;0.0247841898;0.0242807518;0.0246744572;0.0255173991;0.0252080204;0.0240063413;0.0229730288;0.0225192353;0.0231557452;0.0242117722;0.0249394349;0.0247088837;0.0236033523;0.022770185;0.0227806917;0.0231693911;0.0241627766;0.025752656;0.0266989851;0.0270658435;0.0258196443;0.0236224746;0.0219100372;0.0213104598;0.0221746734;0.0228331409;0.0222911473;0.0211992115;0.0200592332
US Colorado;5758736;268431;0.4516920804;0.0065932842;0.0065932842;0.0053621194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4516920804;0.3172070954;0.2234944921;0.1644867627;0.1567977494;0.1833749701;0.2291434603;0.2644600286;0.2749222181;0.2694524102;0.2495212497;0.2445207617;0.24201508;0.2381883345;0.2398102206;0.21557146;0.1853232062;0.1489270418;0.1180792505;0.1070821653;0.104072928;0.1073144672;0.0998744425;0.0844737086;0.0686159252;0.0647708371;0.0646075978;0.0663106303;0.0696257014;0.0606672422;0.0543642613;0.0443129328;0.0400330523;0.0395164956;0.0388406615;0.0421897464;0.0412849162;0.038838498;0.0372348445;0.0367172471;0.0411780743;0.0476876856;0.0531493256;0.0544666093;0.0515439384;0.0441690082;0.0373713383;0.0326333474;0.02969373;0.0290091575;0.0267663264;0.0267203508;0.0245874623;0.0265185088;0.0274381449;0.0301610752;0.0290716137;0.0244863561;0.0195982387;0.0135874003;0.0127650133;0.0126365154;0.0153595172;0.0172792719;0.0170589116;0.0159124142;0.0145078366;0.0138560663;0.0137835177;0.0147553042;0.0150110758;0.0140749541;0.0124777173;0.0103112342;0.0097279819;0.0105156351;0.0128448443;0.0149076745;0.0151004925;0.013759569;0.0114914889;0.0098392307;0.0092998453;0.0095192317;0.0093157056;0.0085825997;0.0075212298;0.0065932842
US Connecticut;3565287;12542;0.5830770128;0.0032999214;0.0032999214;0.0025706361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5830770128;0.5471644488;0.4671461773;0.4255034586;0.3686003704;0.3987120035;0.4146372968;0.3919759527;0.3312644722;0.267590598;0.2545876563;0.2473012158;0.2376392803;0.2085559091;0.1863946797;0.1617982271;0.1442058994;0.141725699;0.1344176502;0.1375891234;0.1352064086;0.1298945427;0.1181778196;0.097762761;0.088048396;0.0786928431;0.0725535803;0.0697133171;0.0646856765;0.0606630795;0.0517147508;0.0514433659;0.0502350489;0.0586553229;0.063496778;0.0624116801;0.0553385905;0.0417248379;0.034953675;0.0272228613;0.024458729;0.0229436923;0.0241916835;0.025257465;0.0250568902;0.0224082809;0.0193486261;0.0173259187;0.0176805585;0.0190578885;0.0197626148;0.0195641323;0.0179858975;0.0165556307;0.0145340912;0.0141075844;0.0148713862;0.0158509715;0.0171676596;0.0176492027;0.0173101675;0.0164727015;0.0143166265;0.0123046583;0.0105904549;0.0097367603;0.009940379;0.0099860178;0.0098170539;0.0085531691;0.0069091871;0.0054568672;0.0047752841;0.0053276477;0.0062890188;0.0068444346;0.0065317486;0.0055206968;0.005037249;0.0046947295;0.0049302046;0.0046842198;0.0040003121;0.0032999214
