Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11
0 America;1024681894;38409125;0.4048588118;0.0153340572;0.0187946981;0.0214504365;;;;;;;;;;;;;;;;;0.0736487394;0.0593239426;0.0488580938;0.0416763224;0.0342792483;0.0247975717;0.0182723935;0.0167002624;0.018617731;0.0194265469;0.0180635913;0.0156542085;0.0153340572;0.01802527;0.0235455259;0.0288479914;0.0711159598;0.1368718039;0.212724833;0.2525222244;0.2311058229;0.1682004925;0.1041465493;0.0896382697;0.1008723652;0.1417756171;0.1766800742;0.2054560572;0.2364002283;0.2550576274;0.2936242515;0.3197075446;0.3120615455;0.3202818312;0.3159798631;0.3212790462;0.342291233;0.3331530776;0.3202912017;0.3081557985;0.3083605032;0.3101879164;0.3471636283;0.3788894279;0.3973972958;0.4048588118;0.3709438582;0.3308644218;0.2871809605;0.2632498942;0.242574313;0.2289086302;0.2138856274;0.1951535863;0.1770241889;0.1602184982;0.1516885569;0.1452126085;0.1386621808;0.1295931607;0.1175644013;0.1059391561;0.0954971391;0.0889200855;0.0849908457;0.0812781968;0.0758615245;0.0683272412;0.0604573386;0.0545016285;0.0512297176;0.0505905387;0.0507870816;0.0500130536;0.0476917153;0.0440932541;0.0407414329;0.0388065405;0.039620972;0.041568206;0.04285812;0.0416543025;0.0380798697;0.0343555664;0.0319533029;0.0323123425;0.0333391483;0.0338213411;0.0326965174;0.0306867125;0.0288644176;0.0277850575;0.0277867293;0.0279229014;0.0273605773;0.0257342205;0.023677403;0.0222125741;0.0222401335;0.0235844436;0.0253015345;0.0258785703;0.0251659223;0.0238860017;0.023189894;0.023632971;0.0246745924;0.025482367;0.0252153523;0.0240367733;0.0225905457;0.0215457018;0.0214497655;0.0223343729;0.0238147428;0.0247602403;0.0244844654;0.0232684703;0.0219146481;0.0214347143;0.0219854758;0.0228513686;0.0229151524;0.0216755342;0.0199674191;0.018870124;0.0187946981
00 N. America;372107035;18250571;0.4149049067;0.0096863472;0.0096863472;0.0110924068;;;;;;;;;;;;;;;;;0.0736487394;0.0593239426;0.0488580938;0.0416763224;0.0342792483;0.0247975717;0.0182723935;0.0167002624;0.018617731;0.0194265469;0.0180635913;0.0156542085;0.0153340572;0.01802527;0.0235455259;0.0288479914;0.0711159598;0.1368718039;0.212724833;0.2525222244;0.2294996801;0.1653124593;0.0990227612;0.0793629008;0.0801523011;0.1152984096;0.1488109767;0.1821262708;0.2252679315;0.24782229;0.290507005;0.3138992757;0.3060406423;0.3199838319;0.3173511363;0.3280417292;0.3431440278;0.3262097012;0.3084343423;0.2930920176;0.2986958877;0.3034725387;0.3471467982;0.3837185675;0.4060461829;0.4149049067;0.3774237265;0.3355681123;0.2920624296;0.2711843504;0.2511866253;0.2371564983;0.2205764145;0.2007093079;0.1814185829;0.1633707825;0.1537370986;0.1463656049;0.139531403;0.130567362;0.1187285999;0.1068002017;0.0953055353;0.0875331342;0.0822554594;0.0778987024;0.0725916376;0.0655423526;0.0584447138;0.0525314513;0.0492694475;0.0482921482;0.0482759461;0.0474519856;0.0450720266;0.0416367069;0.0383012542;0.0361956275;0.0357828699;0.0362965973;0.0363982295;0.0350463475;0.0322195875;0.0291921691;0.0270099961;0.0269139245;0.027640111;0.028129978;0.0271805864;0.0251363535;0.0229546344;0.0214567463;0.0210802609;0.0211214262;0.0207549143;0.0195213217;0.0178799445;0.016351943;0.0159011678;0.0161951207;0.0169562103;0.0171478682;0.0166267205;0.0156568316;0.0147167503;0.0144716446;0.0146174937;0.0149423642;0.0147930404;0.014208276;0.0132938005;0.0123626508;0.0118592593;0.0118757678;0.0123144235;0.0127323388;0.0128138711;0.0124753566;0.0118638956;0.0114152366;0.01153199;0.0119453955;0.0122263185;0.0119623086;0.0110939922;0.0102075394;0.0096863472
01 M. America;179670200;2452270;0.505219606;0.0326472315;0.0337682563;0.0373772006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.505219606;0.4847218632;0.4439648172;0.3537911545;0.303063447;0.2861519863;0.2777895052;0.2888704048;0.2986031033;0.2895051821;0.2542808652;0.2104263097;0.1779020359;0.1711752842;0.1819400708;0.190354815;0.1808844198;0.1583067207;0.1332809082;0.1165239545;0.1065257961;0.1038589508;0.1053337437;0.1067676105;0.1074013749;0.1047281487;0.1024743315;0.1002932687;0.0987683983;0.0959075685;0.0906118876;0.0817747978;0.0723898609;0.0639565351;0.0614145281;0.0625103294;0.0662191387;0.0677256665;0.0664781067;0.0655335113;0.0672899639;0.0725511446;0.0765954276;0.0763022522;0.0705652472;0.0628164412;0.0574229327;0.0559534888;0.0577075874;0.0605833655;0.0613203044;0.0601882044;0.0565906234;0.0533508224;0.0524989317;0.0533685855;0.0555620294;0.0554129754;0.052689789;0.0486617673;0.0450892973;0.0444144167;0.0458784555;0.0475719598;0.0478780596;0.0462191862;0.044908251;0.0436571851;0.0441491563;0.0448322974;0.0457840347;0.0467944221;0.046499659;0.0466412707;0.0453842168;0.0445470099;0.0435214965;0.0417845302;0.0399929811;0.0374178633;0.0363072166;0.0359590582;0.0369029409;0.0382042657;0.0386188904;0.0378986871;0.0352999004;0.0333366426;0.0326472315;0.0337682563
03 Caribbean;40771890;217122;0.4201682775;0.0182851774;0.0232710552;0.0274702463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2913976955;0.3791342644;0.4201682775;0.3965223614;0.3329967124;0.3222716402;0.3342032498;0.3540458009;0.3826620119;0.3790746197;0.3513999921;0.295210949;0.2364034252;0.2011582824;0.1891191982;0.1858733759;0.1741192477;0.1626544341;0.146218802;0.1327535398;0.120045964;0.1009866768;0.0876774168;0.0733086432;0.0696901499;0.0710894402;0.0718544843;0.0764087106;0.0755832675;0.0762644039;0.0712718136;0.0630380103;0.0592242265;0.0559386227;0.0583565864;0.0592117343;0.059564919;0.0602864715;0.0548247439;0.051260372;0.044649617;0.0408053307;0.0385637649;0.036907264;0.0352178492;0.0309752915;0.0279033346;0.0271290836;0.029028306;0.0324582475;0.0357643137;0.0367386178;0.0350667335;0.0322908468;0.0297447044;0.0280621328;0.0284791774;0.0304033216;0.0320768057;0.0319682225;0.0296673344;0.025608612;0.0226501409;0.0218581076;0.0228464508;0.0247539211;0.0259449511;0.0265658719;0.025741899;0.0244629332;0.0236594261;0.0230409347;0.0229316615;0.0228800359;0.0229800894;0.0227302874;0.0240477672;0.0258599516;0.0277797993;0.0285013073;0.0261401623;0.023395425;0.0196241503;0.0182851774;0.0196457146;0.0220339206;0.0250910161;0.0256072351;0.0247686521;0.0232710552
04 S. America;432132769;17489162;0.4084917449;0.0325353416;0.0327412607;0.0364216368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3958193547;0.3469577158;0.3117088649;0.2642675587;0.3282854177;0.3617654638;0.3849381358;0.4084917449;0.3727331977;0.364111437;0.3657350156;0.3699071168;0.3575951572;0.3530398106;0.334236083;0.3033755506;0.2564239634;0.2086988762;0.1774891146;0.1587017006;0.1495018851;0.1366834309;0.1293688047;0.1278358543;0.1348370951;0.1409853549;0.1387393641;0.1263990822;0.1093021192;0.0983352437;0.0991613234;0.1068898741;0.119154337;0.1226661413;0.1135194493;0.0981125174;0.0801008025;0.0734404667;0.0705022774;0.0732070159;0.0750250904;0.0732292617;0.0700494857;0.0639475182;0.0595221706;0.0583607288;0.0692791169;0.0827135372;0.0931880701;0.092424948;0.0810012896;0.0698263367;0.0637038995;0.0657509548;0.0671790759;0.0661318388;0.0624352588;0.0596518072;0.0590292265;0.0592233805;0.0600392123;0.0591381429;0.0561715056;0.0515834354;0.0468177042;0.0451568035;0.0467375325;0.0518853476;0.0567252582;0.0577717754;0.0551696341;0.0513860798;0.0504109892;0.0521757801;0.055300875;0.056582191;0.0545329317;0.05025243;0.0459706774;0.04370178;0.0439499755;0.0465435989;0.050218817;0.0518752898;0.0500907735;0.0460099211;0.0420738279;0.0406856791;0.041457887;0.042741379;0.0418598739;0.0382718408;0.0344906766;0.0325353416;0.0327412607
1 Europe;611702015;21312232.3170000017;0.6023294288;0.0085784281;0.0085784281;0.0091413194;;;;;;;;;;;;;;;;;0.0957987697;0.0584063809;0.0432441274;0.0370013664;0.0380904643;0.0404478626;0.0436640587;0.0475818931;0.0520442866;0.0561001276;0.0574384344;0.0564156626;0.0533927137;0.0506781609;0.0482269845;0.04600254;0.1173951531;0.2808263112;0.4429380875;0.5860292377;0.6023294288;0.5156983403;0.4500699423;0.410932696;0.4082356893;0.3806366397;0.3527995265;0.3241186359;0.2936687136;0.2823946732;0.278655287;0.2833657697;0.2760468323;0.2606065793;0.2488426172;0.232093453;0.2389171217;0.2459521723;0.2510964912;0.2483372904;0.2218262951;0.2002538078;0.1830596383;0.1821787234;0.1833854909;0.1797278665;0.1688344543;0.1532852453;0.1397658233;0.133065589;0.1293950043;0.1274148267;0.1201360138;0.1092413957;0.0955761201;0.0836850105;0.0763464053;0.0720961112;0.0693128618;0.0648506231;0.0583405678;0.0513079418;0.0458804009;0.043123368;0.042614256;0.0424136599;0.0411800247;0.0381836708;0.0339858625;0.0308333531;0.0294485191;0.0302488807;0.0312379541;0.0316657006;0.0302207693;0.0279123469;0.0260334829;0.0248770052;0.0235210256;0.0218280163;0.0201090836;0.0186346637;0.0180089195;0.0176081808;0.0177219136;0.0173135168;0.0173072627;0.0174289913;0.0173745861;0.017125975;0.0168920557;0.0168666071;0.0170409888;0.017213894;0.0170574193;0.0166435108;0.0160573555;0.0155048611;0.0150057828;0.0144752959;0.0138983129;0.0132395283;0.0125656464;0.0119403414;0.011421608;0.0111292397;0.0111348187;0.011134791;0.0110434538;0.010655209;0.0101900943;0.0097295918;0.0095367672;0.0095950283;0.009726141;0.0097709952;0.0095312278;0.0092343922;0.0089683903;0.0089040222;0.0090361183;0.0092045897;0.0092850441;0.0092148695;0.0089964219;0.0087462977;0.0085784281
11 N. Europe;21451759;1181143;0.5176403024;0.0094254907;0.013177215;0.0234629589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4413354318;0.4756406524;0.4923490695;0.5176403024;0.4528435905;0.3425524176;0.3166043673;0.3214614531;0.3438982023;0.3686722927;0.3400755001;0.2840431461;0.2238779702;0.1636452908;0.1250393259;0.1036774303;0.1048492292;0.1111814164;0.1189609487;0.1171919789;0.1140767103;0.1062839536;0.1010838066;0.0995541344;0.097933401;0.0958516313;0.0893163676;0.0810488362;0.0734586973;0.0706926191;0.0706669126;0.0714546719;0.0681319906;0.0620814704;0.0556342046;0.0516097018;0.0510694266;0.0507264389;0.049201538;0.0444445706;0.0387791505;0.0333487755;0.0298270501;0.0293992019;0.0305572408;0.032727053;0.0335697676;0.0324554797;0.0300768792;0.027791342;0.0274899571;0.0288521343;0.0300552771;0.0294820457;0.0263910124;0.0229389516;0.0210388601;0.0212918703;0.0221999979;0.0224408835;0.0206324012;0.0178519066;0.0156515794;0.0151731355;0.0166493766;0.0183045366;0.0199298222;0.0195640612;0.0178482341;0.015599071;0.0140091977;0.0139349034;0.0147127622;0.0155266256;0.0154437426;0.0137936838;0.0118584208;0.0107048696;0.0108201571;0.0121912655;0.0130919276;0.0128009991;0.0112430668;0.009648787;0.0094254907;0.010403195;0.0120769213;0.0133081762;0.0134197072;0.0123162802;0.0111289327;0.0127102231;0.0157855714;0.0199742198;0.0221090885;0.0211459831;0.0181245057;0.0145632346;0.0129849049;0.013177215
12 W. Europe;136029709;606885;0.4926977043;0.0015590855;0.0018054059;0.0014686259;;;;;;;;;;;;;;;;;;;0.0476719263;0.0321151854;0.0327325164;0.0401940019;0.0450061303;0.0449122774;0.0374788032;0.0278340423;0.0199892111;0.0161342383;0.0158779784;0.015629734;0.0153891347;0.0151558326;0.0149295005;0.0147098307;0.0144965331;0.0142893344;0.0511033781;0.1641800772;0.2528654235;0.3945020638;0.4926977043;0.4899307618;0.49037251;0.4398371601;0.4371542374;0.45089613;0.4720273633;0.4679554215;0.3906139747;0.306144123;0.2580440873;0.220589056;0.2574443467;0.2836489933;0.316399331;0.3315085502;0.2982488282;0.2767401239;0.2501737248;0.2568546746;0.2509441755;0.2362334759;0.210054826;0.1808133518;0.1604059355;0.1507116535;0.1477777512;0.1465813205;0.1400688266;0.1274463144;0.1099952602;0.0925235724;0.0824172768;0.077280361;0.0749825872;0.070049879;0.0621713705;0.0533423429;0.0469263699;0.0442168023;0.0443794866;0.0441526031;0.0422660236;0.0378614506;0.0320033591;0.0279504624;0.0254279629;0.025644849;0.0260549016;0.025547254;0.023861987;0.0205607169;0.0182492159;0.0167097783;0.0164657169;0.016478518;0.0160396823;0.0146947283;0.0125748561;0.0106591825;0.0095090682;0.0091014055;0.0088892061;0.0084744596;0.007589547;0.0065351175;0.0057416145;0.0056150586;0.0059250234;0.0063696227;0.0065248417;0.0061448749;0.0054653014;0.0048077673;0.0044302137;0.004330558;0.0043059569;0.0042073842;0.003893855;0.0036278151;0.0034494802;0.003468583;0.0035909033;0.0035408438;0.0033948372;0.003023756;0.0027493461;0.0025296886;0.002477449;0.0026037233;0.002692143;0.0026938901;0.0024481138;0.0021112468;0.0017534986;0.0015590855;0.0016101918;0.001797745;0.0020405908;0.0021953959;0.0022022589;0.0020234053;0.0018054059
13 S. Europe;129670199;1023531.4399999999;0.8453086396;0.0016760538;0.0016760538;0.0021955205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1009127471;0.0915740569;0.0838295324;0.2144322862;0.4615768829;0.6744325102;0.8453086396;0.7614264584;0.5680282419;0.4621703419;0.4034754;0.3954955872;0.3677491452;0.339438667;0.3110312629;0.2728065273;0.2522776613;0.241102289;0.2461671888;0.2516807044;0.2475355912;0.2408504052;0.2255279436;0.2221060152;0.2252289437;0.2265299956;0.2237118037;0.2011103713;0.1801061022;0.1643590558;0.1588894866;0.1604023119;0.1585382572;0.1521931483;0.1407881081;0.1296671324;0.123960614;0.1192792497;0.1162591398;0.1076254163;0.0969930809;0.0848125044;0.0756634193;0.0694450665;0.0649795315;0.0611614763;0.0564081362;0.0505802233;0.0444971759;0.0395318178;0.0362545022;0.0347376846;0.0341176957;0.0330435529;0.0307780131;0.0272608136;0.0241340352;0.0227813302;0.0232639932;0.0239626674;0.024354718;0.0224445528;0.0202780676;0.0184800364;0.0177093865;0.0153059356;0.0120308006;0.0086965293;0.006781955;0.0072439652;0.0081280275;0.0094667099;0.0088542364;0.0084181396;0.0079081431;0.0071777632;0.0063007794;0.0057848213;0.0055740246;0.0058718886;0.0060869798;0.0059598513;0.0057532732;0.0054714562;0.0053742895;0.0051874452;0.0048019979;0.0043446672;0.0036921702;0.0033350262;0.0030414394;0.002862945;0.002855065;0.0030970968;0.0033614146;0.0034995545;0.0032190804;0.0027368582;0.0022124914;0.0021339188;0.0025046429;0.002940362;0.0031485065;0.0027915237;0.0023564492;0.0018813732;0.0017305192;0.0017906173;0.0019068717;0.0019781785;0.0019156311;0.0017954356;0.0016957345;0.0016760538
14 E. Europe;324550348;18500672.8770000003;0.4563996875;0.0174788282;0.0174788282;0.0172967856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2548055503;0.3505855537;0.3742975573;0.3926318724;0.351483931;0.3076022918;0.3371307131;0.3427528084;0.4310537062;0.4563996875;0.4419619608;0.4003756603;0.3188318542;0.2603228137;0.2237239017;0.2148080865;0.2157234407;0.2132859042;0.2022951896;0.1888935904;0.1752786536;0.1682125177;0.1674384425;0.1675620161;0.1642962169;0.1544332356;0.1411550343;0.1281518916;0.1207020588;0.1196605009;0.1200774093;0.1185670654;0.1106492983;0.1020496273;0.0944340083;0.0920441218;0.0935265386;0.0945679134;0.0941176477;0.0908234011;0.0870800939;0.0847292128;0.0843908183;0.0860613632;0.0870749091;0.0874429742;0.0855734942;0.0825475887;0.0786746919;0.073975056;0.070231386;0.0666781987;0.0646949482;0.062621689;0.0603001526;0.0575804894;0.054851964;0.0530818288;0.0528435445;0.0541304331;0.0557608904;0.0567508949;0.0561788827;0.054615033;0.052396434;0.0503487897;0.0483869309;0.0465019935;0.0446095835;0.0425640593;0.0404740472;0.0382690909;0.0360388732;0.0340866871;0.0321861364;0.0304348121;0.0287959723;0.0274163702;0.0265145584;0.025803045;0.0252007892;0.0244991706;0.0237398949;0.0228667401;0.0220816536;0.0213737945;0.0209049763;0.0206045235;0.0203680715;0.02012333;0.0197402767;0.0193398927;0.0190034626;0.0188343427;0.0187425961;0.0186386018;0.0183614888;0.0179200414;0.0174788282
2 Asia Pacific;4256476723;31975201;0.4907593497;0.0035457806;0.0286073201;0.0535619776;;;;;;;;0.4907593497;0.4835705048;0.4525447598;0.3922359;0.2985226436;0.2749104792;0.2496319594;0.2563587858;0.2403786562;0.2076227019;0.1750356585;0.1399077189;0.1179009255;0.0983197701;0.0825309863;0.0667847686;0.0768994535;0.0946334783;0.1133167317;0.1175003393;0.0911480278;0.0615699094;0.0326572877;0.022160375;0.016436303;0.0126868404;0.0106705509;0.0101410468;0.0098679831;0.008724678;0.0084812773;0.0086291965;0.0104420339;0.0119228909;0.0127583292;0.0130555179;0.0122353268;0.0110430603;0.0097377523;0.0086791232;0.007953728;0.006932829;0.0057936949;0.0047349884;0.0037965528;0.0035457806;0.003668916;0.0042191799;0.0049810567;0.0057044648;0.0065301659;0.007161045;0.0079894453;0.0090073839;0.0106074237;0.0119659695;0.0131178504;0.0137363032;0.0141992703;0.0148550743;0.0158917236;0.0171669589;0.0179292621;0.0182860092;0.0185322772;0.0192459809;0.0197315142;0.0203192543;0.0203158659;0.0207704519;0.0210557738;0.0213482328;0.021440386;0.0211099058;0.021413031;0.0219493297;0.0232827626;0.0242686458;0.0248978614;0.0251338475;0.0255322989;0.0261765517;0.0269329251;0.0276407242;0.0276882771;0.0273684452;0.0273173217;0.0275822686;0.0276465012;0.0269508819;0.0256931404;0.024249184;0.0233061369;0.0231608596;0.023822346;0.0246221228;0.0253129382;0.0261747119;0.0269693995;0.0278253106;0.0285383216;0.0289267555;0.0287841647;0.0287264287;0.0285872599;0.0283074099;0.0275498181;0.0270111252;0.0263737724;0.0260963421;0.0262452936;0.0266569746;0.0275823584;0.02835183;0.029609122;0.0304126974;0.0310381859;0.0313461884;0.0309282756;0.0296948911;0.0283549761;0.0275827961;0.0280379259;0.0293246497;0.0308625266;0.0318127151;0.0320207655;0.032254927;0.0324321854;0.032763715;0.0328055277;0.0326591456;0.0319768201;0.0312191837;0.0287618834;0.0286073201
21 C. Asia;85399337;3637478;0.3394355198;0.0269757298;0.0269757298;0.0359940321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2232187066;0.2376927617;0.198115656;0.1963355488;0.2085501589;0.2473095078;0.2985224322;0.335501595;0.3394355198;0.3242361034;0.2818610192;0.2389788586;0.2124727419;0.1855591974;0.1749023305;0.1525720491;0.1443995833;0.1434382383;0.1558476273;0.1727654223;0.1805474549;0.173929158;0.151625917;0.1328436024;0.1196346314;0.1153818442;0.1135482959;0.1134214556;0.1104766463;0.1041485057;0.0955538946;0.0828561471;0.0751909001;0.0705795566;0.073259929;0.0776956919;0.079380895;0.0775308317;0.0704382717;0.0620077404;0.0541530434;0.0489868294;0.0462150512;0.0451659803;0.0441789622;0.0441068866;0.0430948407;0.0411109661;0.0384520067;0.0356490197;0.0337067452;0.0344317334;0.0368764216;0.0404604712;0.0418798;0.0415390522;0.0400532234;0.0386274303;0.0389776443;0.0396127581;0.0407609695;0.0399837485;0.0380667864;0.0347855198;0.0321734626;0.0308866126;0.0318664374;0.0347307263;0.0383099178;0.0435803401;0.0465263184;0.0479510673;0.0465949003;0.045096019;0.044171851;0.0446078149;0.0459694839;0.0442333697;0.0422782459;0.0390000218;0.0379342692;0.03733244;0.0377748525;0.0379009418;0.036538472;0.035577546;0.0345896458;0.034448621;0.0338995292;0.0337600663;0.0324856647;0.0304960796;0.0283579112;0.0269757298
22 India Region;1817448317;4118717;0.3909837685;0.0389562745;0.0389562745;0.0774074575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3603201335;0.2700859283;0.1828304396;0.1469574045;0.1689636402;0.2024964079;0.2142567939;0.1997476472;0.1941082785;0.2409597121;0.3060904298;0.3655178517;0.3909837685;0.3489990822;0.3085985369;0.2663789136;0.2322591248;0.2084836284;0.1684021913;0.1489665721;0.1302037715;0.127294173;0.1232951529;0.1125192669;0.1074138526;0.1009236974;0.1156774409;0.1379143965;0.1473640008;0.1504002122;0.1388027331;0.1389701223;0.141670631;0.141979434;0.1343549509;0.1154025672;0.1031281221;0.0960091019;0.0960970014;0.0961163591;0.0964426147;0.0954092017;0.0917151838;0.0880608108;0.0855823657;0.0869447112;0.0883649692;0.0878264958;0.0856682253;0.0820263435;0.0785317763;0.0737660335;0.0688044849;0.0649297799;0.0632628854;0.0638800889;0.0652722494;0.0657831455;0.0652042058;0.0652147681;0.0663624209;0.0676827869;0.0683560536;0.0674157295;0.0648906415;0.0628869108;0.0613800096;0.0595789335;0.0566083472;0.05371501;0.0504068316;0.0483282562;0.0476525674;0.0480342162;0.0498111663;0.0509444116;0.0529529125;0.0534036239;0.0532570134;0.052535769;0.0506413011;0.0478664392;0.0450065569;0.043289106;0.0432752964;0.0447003451;0.0464085702;0.0474313177;0.0476051589;0.0477822396;0.0478685019;0.0479281745;0.0474920721;0.0467772053;0.0453353019;0.0438862748;0.0396206652;0.0389562745
23 China;1439323776;9388211;0.4920083106;0.000027294;0.0000682952;0.0000831265;;;;;;;;0.4920083106;0.4858914753;0.4552326936;0.3943066921;0.2995247966;0.2756314978;0.2503303903;0.257318293;0.2414436524;0.2084698329;0.1756104676;0.1402356087;0.1181086084;0.0984576425;0.0826132058;0.0668474808;0.0770524073;0.0948954308;0.1136294031;0.1177847052;0.0912644051;0.0615423178;0.0325359073;0.0219464572;0.0160347734;0.0118414408;0.009258725;0.0081150318;0.0074318568;0.006022182;0.0053441821;0.0047548783;0.0052034725;0.0053765578;0.0051871988;0.0048804871;0.004089726;0.0031003719;0.0022778989;0.0017306237;0.0015537938;0.0013127983;0.0009887525;0.0006924708;0.0004712228;0.0003555494;0.0002925706;0.0002646599;0.0002810465;0.0003046409;0.0003487926;0.0004021449;0.0005088435;0.0006339252;0.0008183031;0.0009459846;0.0010414588;0.0010641118;0.0010680038;0.0011260945;0.001177761;0.0012926904;0.0013084722;0.0012804521;0.0011783226;0.0010693434;0.0009982242;0.0008980228;0.000827451;0.0007459109;0.0006877142;0.00071241;0.000760269;0.0008292412;0.000858824;0.0009023124;0.0009557161;0.001024034;0.0010402183;0.0009781335;0.0011589511;0.00129628;0.0014744745;0.001340951;0.0009526573;0.0005852601;0.0002515442;0.0002405569;0.0002156574;0.0001808381;0.0001331186;0.0001181983;0.0001092426;0.0001191587;0.0001191497;0.0001057345;0.0000818995;0.0000511198;0.0000387099;0.000027294;0.0000282856;0.0000292772;0.0000426733;0.0000714481;0.0000972416;0.0001170796;0.0001111186;0.0000942417;0.0000793522;0.0000714099;0.0000823138;0.0000892486;0.0000927116;0.0000907215;0.0000793128;0.000067906;0.0000565015;0.000056993;0.0000644227;0.0000698695;0.0000688753;0.0000629252;0.0000619292;0.0000648966;0.0000852014;0.0001035216;0.0001163885;0.000108456;0.0000940845;0.0000792211;0.0000722806;0.0000782164;0.000079201;0.0000752366;0.0000673109;0.0000682952
24 N.E. Asia;177745646;461785;0.530907323;0.0019939793;0.0028554496;0.0033341354;;;;;;;;;;;;;;0.2763475107;0.1933149728;0.1215400352;0.0745699318;0.0686816558;0.070870841;0.0675231916;0.0556616843;0.0401137307;0.0314692326;0.0264333272;0.024264794;0.0395247189;0.0729180131;0.1124525238;0.142699494;0.143991185;0.1794529818;0.2497195135;0.3845437021;0.5030963535;0.530907323;0.4679176793;0.3558518418;0.2978862643;0.2711720228;0.2875115022;0.2902996503;0.272265284;0.2379507488;0.1923415444;0.1578488322;0.1279770374;0.1046194727;0.0862404016;0.068527707;0.0533477421;0.0395040564;0.0285859461;0.0235569926;0.0217496443;0.0204357908;0.0188532051;0.0161400885;0.0143537819;0.0133783365;0.0133822094;0.0146699855;0.016866729;0.0171329753;0.0169462414;0.0156525154;0.0150796089;0.0156118262;0.0177721278;0.0209264134;0.0219864009;0.0215907765;0.0203235553;0.020705004;0.0217422852;0.0258424676;0.0272997957;0.0286170494;0.0279354987;0.0272864426;0.0281299098;0.0300293666;0.0343170325;0.0381071326;0.0410884008;0.0395163526;0.0361197716;0.030795396;0.0309607962;0.0322848767;0.0347395027;0.0328129136;0.0263393406;0.0195674584;0.016577734;0.018837772;0.0218063033;0.0228337169;0.0214427271;0.0168304813;0.0121045304;0.0080422405;0.0053105582;0.0058267514;0.0068987923;0.009670486;0.0099435887;0.0088221631;0.0074498003;0.0059685298;0.0052155007;0.0051962686;0.0050150041;0.005108168;0.0047048035;0.0045830286;0.0043832653;0.0039135819;0.00346173;0.0027992907;0.0024230735;0.0020873755;0.0019939793;0.0021662016;0.0023031851;0.0024530412;0.0022821963;0.0021596023;0.0021594409;0.0021664704;0.0024552832;0.0025308196;0.0025680876;0.0026213167;0.0026644324;0.0028143795;0.0027971642;0.0028954062;0.0029950229;0.0030795507;0.0030241943;0.002977856;0.0028529805;0.0028554496
