Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11
US Delaware;973764;5047;10574;1085.8893941448;0.8297889037;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;12;14;21;28;37;44;63;83;96;127;171;184;211;259;301;323;374;507;583;701.5;824;950.5;1076;1179;1324;1384;1444;1569;1810;1865;2101;2195.5;2292;2490;2665;2931;3023;3145;3275;3722;3838;4241;4304;4372;4545;4655;4816;4889;4963;5364;5522;5691;5852;6016;6129;6297;6499;6764;6910;7081;7202;7398;7566;7719;7903;8044;8205;8321;8475;8574;8603;8677;8742;8927;9002;9107;9186;9210;9244;9269;9341;9438;9468;9516;9551;9599;9666;9722;9757;9833;9894;9935;9989;10099;10169;10263;10308;10333;10374;10463;10500;10574
US District of Columbia;705749;158;9648;1367.0582600896;0.8932506249;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5.5;7;9;10;11;8;13;20;27;56;56;76;92;115;156;199;229;257;292;348;428;514;572;671;811;902;992;1099;1313;1384;1507;1613;1697;1770;1868;1992;2126;2245;2426;2542;2669;2834;2929;3076;3224;3388;3518;3564;3658;3756;3965;4290;4422;4633;4778;4922;5054;5242;5481;5675;5845;5949;6045;6139;6283;6411;6580;6657;6802;6964;7078;7313;7418;7483;7606.5;7734;7839;7907;7990;8032;8206;8286;8342;8366;8493;8593;8669;8738;8799;8854;8937;8996;9046;9108;9161;9217;9248;9267;9294;9349;9397;9427;9461;9497;9533;9564;9591;9617;9648
US Florida;21477737;138887;128244;597.1020131218;0.5038839186;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1.5;2;4;4;1;6;4;16;23;60;78;109;227;262;357;467;612;935;1116;1373;2001;2375;3325;3781;4990;5801;6346;7364;8886;10357;11370;12518;13891;14545;15385;16500;17419;18261;19500;20213;21271;21607;22805;23881;24593;25237;25959;26704;27165;28436;29054;29737;30333;30997;31295;31742;32737;33423;34029;34824;35310;35829;36606;36931;37689;38280;38651;39585;40002;40764;41515.5;42281;43054;43899;44331;44821;45984;46706;47354;48081;48948;49404;49745;50347;51530;52408;53141;53800;54362;55654;57029;58291;59521;60684;61638;62667;63994;65646;67507;70063;72050;73780;76505;79069;82208;85963;89994;93459;96337;99560;105023;109907;118757;128244
US Georgia;10617423;148959;71989;678.0270504434;0.6292689749;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;19;34;35;58;124;236;306;389;543;697;885;1146;1585;1938;2218;2345;3428;4086;4761;5181;5487;5960;6581;8019;9065;9694;10591;11255;11540;12344;13197;13894;14549;16040;16495;17124;17725;18593;19429;20176;20770;21295;21996;22472;23154;24067;24628;25713;26714;26996;27726;28047;29009;29685;30321;30721;31617;32097;32764;33425;33896;34707;35144;35659;36007;36619;37524;38258;39044;39958;40658;41136;41445;42092;42695;43252;43840;44535;45124;45678;46319;47242;47985;48667;49255;49849;50561;51282;52228;53013;54025;54903;55630;56273;57203;58063;59153;60952;61841;63050;64779;66459;68165;70030;71989
US Guam;162742;543;245.3333333333;150.7498576479;0.7863247863;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;9;10;11;23;25;28;33;41;47;50;51;53;64;72;77;79;88;107;108;116;120;123;125;128;128.0909090909;128.1818181818;128.2727272727;128.3636363636;128.4545454545;128.5454545455;128.6363636364;128.7272727273;128.8181818182;128.9090909091;129;130;136;137;138;139;140;140.5;141;142;143;145;144;145;146;146.1666666667;146.3333333333;146.5;146.6666666667;146.8333333333;147;147.5;148;149;151.2;153.4;155.6;157.8;160;160.25;160.5;160.75;161;162.5;164;165;167;167.5;168;169;170;172;173;174;174.2;174.4;174.6;174.8;175;177;178;179;180;180.3333333333;180.6666666667;181;183;188;195;217;218;219;220;226;240;243;245.3333333333
US Hawaii;1415872;16635;847;59.8217918004;0.731433506;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;7;10;13;15;24;34;44;52;72;85;90;100;112;143;166;195;199;249;276;310;342;361;377;398;423;430;452;472;485;488;501;514;525;537;558;563;567;565;575;579;584;586;589;590;592;596;601;602;603;603.5;604;608;609;612;613;614;615;617;618;621;620;621;622;623;623.5;624;626;630;625;626;626.25;626.5;626.75;627;630;632;634;635;635.5;636;637;638;647;656;658;659;665;668;675;689;705;710;718;722;726;744;770;784;795;797;800;816;831;847
US Idaho;1787065;214045;5047;282.4183787383;0.5083601934;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;21;32;37;37;58;105;165;205;234;283;382;486;628;850;970;1033;1056;1122;1159;1178;1299;1342;1351;1370;1395;1404;1527;1546;1592;1605;1608;1672;1701;1736;1769;1803;1820;1830;1847;1883;1915;1943;1962;1988;2010.5;2032;2050;2081;2101;2126;2151;2166;2181;2212;2242;2269;2307;2337;2355;2372;2393;2423;2451;2512;2543;2567.3333333333;2591.6666666667;2614;2646;2683;2716;2752;2785.5;2818;2845;2902;2965;3022;3050;3075;3100;3131;3170;3212;3263;3308;3339.5;3371;3448;3540;3651;3778;3913;4037;4160;4308;4547;4765;5047
US Illinois;12671821;143793;134761;1063.4698832946;0.8745376199;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0.5;0;0;0;3;3;0;0;0;0;20;60;147;265;375;510;775;966;1155;1403;2010;2430;2814;3876;4263;5126;6032;6623;7770;9098;9966;10913;12081;13513;14734;16092;17306;18919;20042;21122;22378;23378;25118;26601;27739;28846;30221;32134;33823;36417;38428;40497;42424;44501;46563;48990;51997;54376;57322;59606;61583;63707;66266;69045;71295;72885;74123;78098;79615;82751;85099;87127;88801;91073;92505;94797;96950;99649;101932;104400;105915;106999;108033;109470;111014;112447;113771;114727;116269;117164;118041;119197;120061;120906;122264;123025;123587;124313;125011;125658;126315;126774;127376;127894;128451;129255;129880;130532;130988;131552;132231;133105;133999;134761
US Indiana;6732219;92789;41819;621.1770591539;0.8187121909;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;74;120;192;274;400;681;902;1171;1436;1771;2129;2562;2918;3408;3849;4375;4877;5282;5645;6166;6650;7115;7392;7626;7890;8428;8979;9412;9964;10422;10771;11061;11625;12233;12905;13504;14421;15010;15563;16189;16939;17554;18182;18742;19209;20006;20590;21205;21789;22150;22651;23123;23443;23985;24545;25155;25644;26113;26508;27067;27705;28151;28609;29073;29399;29739;30082;30688;31162;31798;32152;32397;32790;33237;33605;34062;34461;34857;35070;35464;35759;36162;36551;36927;37290;37806;38146;38363;38776;39065;39374;39730;39935;40154;40408;40916;41392;41819
US Iowa;3155070;144669;27264;864.1329669389;0.7869079574;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;12;13;13;14;14;16;16;20;27;34;54;68;80;98;118;150;204;264;295;381;448;496;554;635;712;793;867;965;1055;1174;1281;1398;1469;1583;1763;1847;1979;2162;2338;2718;2971;3434;3529;3693;4202;4840;5211;5597;6087;6537;6827;7548;8295;8818;9348;9739;10016;10653;11032;11227;11505;11914;12434;12798;13171;13527;13797;14117;14404;14788;15040;15590;15912;16295;16648;16965;17079;17730;17934;18283;18594;18900;19042;19347;19382;20126;20471;20797;20982;21301;21548;21859;22243;22633;23013;23221;23345;23464;23744;24136;24555;24775;25242;25328;25648;25970;26458;26943;27264
US Kansas;2913314;211754;13555.6666666667;465.3005706445;0.7283685276;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;3;6;6;21;27;34;42;57;71;88;126;152;206;263;306;359;406;472;536;612;655;745;793;936;994;1055;1151;1219;1256;1302;1369;1459;1575;1659;1715;1850;1888;2067;2335;2625;2899;3017;3170;3333;3574;4074;4277;4574;4858;5072;5285;5556;5966;6316;6566;6763;6928;7104;7263;7472;7678;7829.3333333333;7980.6666666667;8123;8222.5;8317;8526.5;8726;8812.6666666667;8899.3333333333;8982;9041.5;9097;9288;9476;9573.3333333333;9670.6666666667;9766;9845.5;9923;10034.5;10139;10224.6666666667;10310.3333333333;10391;10472;10551;10668.5;10783;10907;11031;11149;11280;11409;11598;11782;11917.3333333333;12052.6666666667;12185;12437.5;12688;12972;13254;13555.6666666667
US Kentucky;4467673;102269;14423.5;322.8414434091;0.7543277025;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;5.5;5;6;7;12;11;9;15;16;17;59;59;65;92;125;158;212;300;342;376;476;558;641;694;773;807;854;978;1161;1502;1566.5;1635;1755;1835;1985;2056;2189;2274;2459;2707;2789;2917;3090;3187;3481;3601;3770;3835;4054;4213;4380;4547;4670.5;4796;4879;5456;5558;5743;5897;6049;6167.5;6286;6453;6680;6816;7026;7257;7439.5;7627;7668;7709;7820;7956;8101;8267.6666666667;8431.3333333333;8593;8637.5;8691;8965;9205;9541;9673;9892;10185;10455;10763;10855.5;10950;11171;11345;11399;11642;11892;11988;12087;12264;12423;12616;12869;13045;13165;13246;13539;13755;14005;14239;14423.5
US Louisiana;4648794;111898;52099.5;1120.7100164043;0.6783524081;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;103;171;360;660;806;1143;1603;1991;2509;2700;3141;4224;5321;7994;9084;11229;11714;13539;14879;15557;16743;17652;18370;18925;19319;19760;20149;20670;21191;21630;21959;22459;22739;23143;23531;23913;24245;24487;24760;24939;25279;25584;26263;26661;26849;27110;27415;27791;28023;28187;28749;28910;29125;29349;29940;30749;31071;31332;31641;31908;32203;32446;33621;34013;34115;34233;34865;35097;35529;35815;36193.5;36573;36902;37323;37704;38071;38500;38905;39382;39711;39933;40478;40878;41308;41805;43093;43420;43973;44485;45396;45319.5;45237;46107;46490;46943;48276;49138;50060;51389;52099.5
US Maine;1344212;79883;3042;226.3035890172;0.8642045455;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;14;27;36;46;48;63;79;97;113;135;139;151;192;234;256;283;320;349;403;424;436;464;483;498;516;539;566;583;647;683;718;743;772;791;810;818;827;845;875;902;926;951;958;975;990;1026;1054;1082;1115;1134;1153;1181;1257;1299;1331;1358;1384;1398;1434;1481;1518;1559;1598;1624;1647;1724;1782;1850;1915;1956;1975;2009;2037;2089;2126;2182;2225;2248;2276;2316;2344;2380;2422;2468;2486;2504;2534;2564;2618;2653;2689;2705;2714;2731;2773;2808;2831;2848;2862;2884;2907;2959;2991;3042
